EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, SAENTIS (STAID: 243).
Blended and updated with sources: 100755 906680 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100755,19011012,    0,    0
100755,19011013,    0,    0
100755,19011014,    0,    0
100755,19011015,    0,    0
100755,19011016,    0,    0
100755,19011017,    0,    0
100755,19011018,    0,    0
100755,19011019,    0,    0
100755,19011020,    0,    0
100755,19011021,    0,    0
100755,19011022,   44,    0
100755,19011023,    6,    0
100755,19011024,    0,    0
100755,19011025,    0,    0
100755,19011026,    0,    0
100755,19011027,    0,    0
100755,19011028,    0,    0
100755,19011029,    0,    0
100755,19011030,    0,    0
100755,19011031,    0,    0
100755,19011101,    0,    0
100755,19011102,    0,    0
100755,19011103,    0,    0
100755,19011104,    0,    0
100755,19011105,    0,    0
100755,19011106,    0,    0
100755,19011107,    0,    0
100755,19011108,    0,    0
100755,19011109,    0,    0
100755,19011110,    0,    0
100755,19011111,    0,    0
100755,19011112,    0,    0
100755,19011113,   42,    0
100755,19011114,   25,    0
100755,19011115,   40,    0
100755,19011116,   86,    0
100755,19011117,    0,    0
100755,19011118,    0,    0
100755,19011119,   23,    0
100755,19011120,    0,    0
100755,19011121,    0,    0
100755,19011122,  151,    0
100755,19011123,    7,    0
100755,19011124,    0,    0
100755,19011125,    0,    0
100755,19011126,    0,    0
100755,19011127,    0,    0
100755,19011128,  128,    0
100755,19011129,   83,    0
100755,19011130,    6,    0
100755,19011201,   26,    0
100755,19011202,    0,    0
100755,19011203,   43,    0
100755,19011204,    1,    0
100755,19011205,    0,    0
100755,19011206,    0,    0
100755,19011207,    0,    0
100755,19011208,   53,    0
100755,19011209,  676,    0
100755,19011210,   61,    0
100755,19011211,   53,    0
100755,19011212,    2,    0
100755,19011213,   78,    0
100755,19011214,   17,    0
100755,19011215,   50,    0
100755,19011216,    0,    0
100755,19011217,    0,    0
100755,19011218,   17,    0
100755,19011219,    0,    0
100755,19011220,    0,    0
100755,19011221,    0,    0
100755,19011222,    0,    0
100755,19011223,    1,    0
100755,19011224,   12,    0
100755,19011225,   56,    0
100755,19011226,   54,    0
100755,19011227,   40,    0
100755,19011228,   26,    0
100755,19011229,  147,    0
100755,19011230,   51,    0
100755,19011231,    0,    0
100755,19020101,    0,    0
100755,19020102,  854,    0
100755,19020103,  196,    0
100755,19020104,    3,    0
100755,19020105,  166,    0
100755,19020106,   22,    0
100755,19020107,    0,    0
100755,19020108,    0,    0
100755,19020109,    0,    0
100755,19020110,    0,    0
100755,19020111,    0,    0
100755,19020112,    0,    0
100755,19020113,   38,    0
100755,19020114,   24,    0
100755,19020115,   15,    0
100755,19020116,   57,    0
100755,19020117,    0,    0
100755,19020118,    0,    0
100755,19020119,    0,    0
100755,19020120,    0,    0
100755,19020121,   25,    0
100755,19020122,    0,    0
100755,19020123,    0,    0
100755,19020124,    0,    0
100755,19020125,  127,    0
100755,19020126,   34,    0
100755,19020127,   96,    0
100755,19020128,  127,    0
100755,19020129,  150,    0
100755,19020130,    6,    0
100755,19020131,    1,    0
100755,19020201,    0,    0
100755,19020202,    0,    0
100755,19020203,    2,    0
100755,19020204,   22,    0
100755,19020205,    0,    0
100755,19020206,   17,    0
100755,19020207,   96,    0
100755,19020208,   14,    0
100755,19020209,   75,    0
100755,19020210,   40,    0
100755,19020211,   72,    0
100755,19020212,   19,    0
100755,19020213,   76,    0
100755,19020214,   92,    0
100755,19020215,   13,    0
100755,19020216,    0,    0
100755,19020217,   40,    0
100755,19020218,    2,    0
